id,label
37686,1
462,1
9919,1
187017,1
628,1
10201,1
302699,1
9441,2
274167,1
224141,1
388,1
2112,1
10329,1
74465,2
13811,1
6877,2
10320,1
50646,2
8920,1
13673,2
60308,2
6950,1
225574,1
13836,2
752,2
6038,2
9975,2
11451,2
12103,2
60304,1
2251,2
46529,2
231,2
300671,2
228326,2
9754,2
66,2
4421,2
2649,2
588,2
10393,2
71552,1
9631,2
216282,1
306,2
928,2
205587,2
6623,2
1577,2
9801,2
2116,2
9624,2
14199,2
1907,2
4599,2
22832,2
10390,2
9879,2
38579,2
44603,2
11892,2
9691,2
1248,2
12220,2
72710,2
10782,2
9573,2
4959,2
10061,2
10386,2
421,2
316152,2
11615,2
13498,2
241554,2
2252,2
11968,2
10047,2
38319,2
69668,2
9770,2
11212,2
10533,2
38363,2
9923,2
11863,2
18501,2
109491,2
9275,2
329833,2
12634,2
10416,2
47327,2
15268,2
10796,2
9548,2
18947,2
1900,1
89,1
96724,2
198184,2
9481,1
4547,1
53953,2
6415,2
181283,2
9896,2
167,2
11232,2
1636,2
2148,2
5176,2
260346,1
1389,2
9894,2
7504,2
8592,2
913,2
11091,2
1368,2
593,2
5393,2
9095,2
8874,1
11467,2
320,2
199,1
20533,2
10684,2
1624,1
325789,2
113464,2
888,1
82675,1
4256,1
1493,1
88751,2
11130,2
9944,1
10731,2
7350,1
9869,1
4379,1
146233,2
2034,2
926,2
4248,2
64328,1
36647,2
7214,2
1537,2
9360,2
6282,2
508,1
9487,1
768,2
2636,1
10478,2
27983,2
9981,2
7453,2
15045,2
7737,1
232672,2
17379,2
8987,2
11359,2
82525,2
9759,2
9486,1
9906,2
841,2
4688,2
4148,2
2207,2
9381,2
9625,2
9304,2
20856,2
5955,2
9899,2
9826,2
21355,2
10858,2
11439,2
9457,2
12412,2
1494,2
13184,2
2185,2
6639,2
38153,2
58233,1
116977,2
68734,1
5503,1
27573,2
819,1
1369,1
9623,2
10895,2
10935,2
834,2
228066,2
711,2
10468,2
10027,2
11812,2
37233,1
37950,2
27582,2
64688,1
509,1
7443,1
5966,1
11066,2
136795,1
8095,2
87826,2
11560,2
25189,2
2637,2
18480,2
709,1
49730,2
2749,2
9607,2
1830,2
79,1
54054,2
228967,2
46528,2
27936,2
65,1
280391,2
9476,2
10610,2
745,0
49527,2
73937,2
1885,2
168672,1
18240,1
10398,1
165,1
240832,2
216015,0
12279,1
1645,1
11007,1
193756,1
11287,2
259693,1
37799,1
10184,1
4257,1
4234,1
196,1
257091,2
6114,1
24803,2
109410,2
1213,2
100042,1
9036,2
257211,1
323675,2
9361,2
1677,2
187,1
7461,1
16538,2
9889,2
820,1
11565,2
6073,1
16996,2
193610,1
19912,1
296098,1
8007,2
32823,2
4380,1
11551,2
10336,2
11362,2
50348,2
48138,2
1124,2
227159,2
68179,2
1579,2
708,1
34851,2
9930,2
1586,2
2044,2
9913,2
71864,2
10761,2
209451,2
11975,2
4970,2
11831,2
9096,2
440,2
11011,2
10641,2
11172,1
