id,label
37686,2
462,2
9919,3
187017,3
628,3
10201,3
302699,3
9441,4
274167,2
224141,3
388,3
2112,3
10329,3
74465,3
13811,3
6877,3
10320,3
50646,3
8920,3
13673,4
60308,3
6950,3
225574,3
13836,3
752,3
6038,3
9975,4
11451,4
12103,3
60304,3
2251,3
46529,3
231,3
300671,4
228326,3
9754,3
66,4
4421,4
2649,3
588,3
10393,4
71552,3
9631,4
216282,3
306,3
928,4
205587,3
6623,4
1577,3
9801,4
2116,4
9624,4
14199,4
1907,3
4599,4
22832,4
10390,4
9879,3
38579,3
44603,3
11892,4
9691,4
1248,3
12220,4
72710,4
10782,4
9573,4
4959,4
10061,4
10386,4
421,4
316152,4
11615,4
13498,4
241554,4
2252,4
11968,4
10047,4
38319,4
69668,4
9770,4
11212,4
10533,4
38363,4
9923,4
11863,4
18501,4
109491,4
9275,4
329833,4
12634,4
10416,4
47327,4
15268,4
10796,4
9548,4
18947,4
1900,3
89,2
96724,4
198184,3
9481,3
4547,3
53953,4
6415,3
181283,4
9896,3
167,4
11232,4
1636,3
2148,4
5176,4
260346,2
1389,3
9894,3
7504,4
8592,3
913,3
11091,4
1368,3
593,4
5393,4
9095,4
8874,2
11467,4
320,3
199,3
20533,4
10684,3
1624,3
325789,4
113464,4
888,2
82675,2
4256,3
1493,3
88751,3
11130,3
9944,3
10731,3
7350,3
9869,3
4379,3
146233,3
2034,3
926,3
4248,3
64328,3
36647,3
7214,3
1537,3
9360,3
6282,3
508,2
9487,2
768,4
2636,3
10478,4
27983,4
9981,4
7453,3
15045,4
7737,3
232672,3
17379,4
8987,4
11359,4
82525,3
9759,4
9486,3
9906,4
841,4
4688,4
4148,3
2207,4
9381,4
9625,4
9304,4
20856,4
5955,4
9899,4
9826,4
21355,4
10858,4
11439,4
9457,4
12412,4
1494,4
13184,4
2185,4
6639,4
38153,4
58233,3
116977,4
68734,3
5503,2
27573,3
819,3
1369,2
9623,4
10895,3
10935,4
834,3
228066,4
711,3
10468,4
10027,4
11812,4
37233,2
37950,4
27582,4
64688,3
509,2
7443,3
5966,3
11066,4
136795,3
8095,4
87826,4
11560,4
25189,4
2637,4
18480,4
709,3
49730,3
2749,4
9607,4
1830,4
79,3
54054,4
228967,4
46528,4
27936,4
65,3
280391,4
9476,3
10610,4
745,1
49527,4
73937,4
1885,3
168672,2
18240,2
10398,3
165,2
240832,3
216015,1
12279,3
1645,3
11007,3
193756,3
11287,3
259693,2
37799,3
10184,3
4257,3
4234,3
196,2
257091,3
6114,3
24803,3
109410,3
1213,3
100042,3
9036,3
257211,3
323675,3
9361,3
1677,3
187,3
7461,3
16538,3
9889,3
820,3
11565,3
6073,3
16996,3
193610,3
19912,3
296098,3
8007,3
32823,3
4380,3
11551,4
10336,3
11362,3
50348,3
48138,3
1124,3
227159,3
68179,4
1579,3
708,3
34851,3
9930,4
1586,3
2044,3
9913,3
71864,4
10761,3
209451,4
11975,4
4970,3
11831,4
9096,4
440,4
11011,4
10641,4
11172,3
